TRADE_YMDH,GEN_CD,REVISION,BID_QT,PBID_QT,FUEL_QT,TA_QT,PTA_QT,CONST_QT,CONST_TYPE,CONST_REASON,OPER_BIT,AGC_FLG,GF_FLG,BSF_FLG,TEMPER,A_MAX,A_MIN,GEN_CHG,GF_MAX,GF_MIN,AGC_MIN,AGC_MAX,ECR,EW_CONST,GT_SEQ,AMB_PRESS,WRT_ID,WRT_YMDS,A_MGMIN,SUB_FUEL_USE_YN,LABEL
2025070400,7284,0,969,969,969,969,969,0,0,0,11,1,1,0,0,969,262,1.0154,969,262,262,969,0,0,12,0,system,2.02507E+13,0,,1
2025070401,7284,0,969,969,969,969,969,0,0,0,11,1,1,0,0,969,262,1.0154,969,262,262,969,0,0,12,0,system,2.02507E+13,0,,1
2025070402,7284,0,969,969,969,969,969,0,0,0,11,1,1,0,0,969,262,1.0154,969,262,262,969,0,0,12,0,system,2.02507E+13,0,,1
2025070403,7284,0,969,969,969,969,969,0,0,0,11,1,1,0,0,969,262,1.0154,969,262,262,969,0,0,12,0,system,2.02507E+13,0,,1
2025070404,7284,0,969,969,969,969,969,0,0,0,11,1,1,0,0,969,262,1.0154,969,262,262,969,0,0,12,0,system,2.02507E+13,0,,1
2025070405,7284,0,969,969,969,969,969,0,0,0,11,1,1,0,0,969,262,1.0154,969,262,262,969,0,0,12,0,system,2.02507E+13,0,,1
2025070406,7284,0,968,968,968,968,968,0,0,0,11,1,1,0,0,968,262,1.0154,968,262,262,968,0,0,12,0,system,2.02507E+13,0,,1
2025070407,7284,0,968,968,968,968,968,0,0,0,11,1,1,0,0,968,262,1.0154,968,262,262,968,0,0,12,0,system,2.02507E+13,0,,1
2025070408,7284,0,966,966,966,966,966,0,0,0,11,1,1,0,0,966,262,1.0155,966,262,262,966,0,0,12,0,system,2.02507E+13,0,,1
2025070409,7284,0,966,966,966,966,966,0,0,0,11,1,1,0,0,966,262,1.0155,966,262,262,966,0,0,12,0,system,2.02507E+13,0,,1
2025070410,7284,0,964,964,964,964,964,0,0,0,11,1,1,0,0,964,262,1.0155,964,262,262,964,0,0,12,0,system,2.02507E+13,0,,1
2025070411,7284,0,964,964,964,964,964,0,0,0,11,1,1,0,0,964,262,1.0155,964,262,262,964,0,0,12,0,system,2.02507E+13,0,,1
2025070412,7284,0,966,966,966,966,966,0,0,0,11,1,1,0,0,966,262,1.0155,966,262,262,966,0,0,12,0,system,2.02507E+13,0,,1
2025070413,7284,0,966,966,966,966,966,0,0,0,11,1,1,0,0,966,262,1.0155,966,262,262,966,0,0,12,0,system,2.02507E+13,0,,1
2025070414,7284,0,966,966,966,966,966,966,2,5,11,0,0,0,0,966,966,1.0155,0,0,0,0,0,0,12,0,system,2.02507E+13,0,,1
2025070415,7284,0,966,966,966,966,966,966,2,5,11,0,0,0,0,966,966,1.0155,0,0,0,0,0,0,12,0,system,2.02507E+13,0,,1
2025070416,7284,0,968,968,968,968,968,968,2,5,11,0,0,0,0,968,968,1.0154,0,0,0,0,0,0,12,0,system,2.02507E+13,0,,1
2025070417,7284,0,968,968,968,968,968,968,2,5,11,0,0,0,0,968,968,1.0154,0,0,0,0,0,0,12,0,system,2.02507E+13,0,,1
2025070418,7284,0,968,968,968,968,968,968,2,5,11,0,0,0,0,968,968,1.0154,0,0,0,0,0,0,12,0,system,2.02507E+13,0,,1
2025070419,7284,0,968,968,968,968,968,968,2,5,11,0,0,0,0,968,968,1.0154,0,0,0,0,0,0,12,0,system,2.02507E+13,0,,1
2025070420,7284,0,968,968,968,968,968,968,2,5,11,0,0,0,0,968,968,1.0154,0,0,0,0,0,0,12,0,system,2.02507E+13,0,,1
2025070421,7284,0,969,969,969,969,969,969,2,5,11,0,0,0,0,969,969,1.0154,0,0,0,0,0,0,12,0,system,2.02507E+13,0,,1
2025070422,7284,0,969,969,969,969,969,969,2,5,11,0,0,0,0,969,969,1.0154,0,0,0,0,0,0,12,0,system,2.02507E+13,0,,1
2025070423,7284,0,969,969,969,969,969,969,2,5,11,0,0,0,0,969,969,1.0154,0,0,0,0,0,0,12,0,system,2.02507E+13,0,,1
2025070500,7284,0,969,969,969,969,969,0,0,0,11,1,1,0,0,969,262,1.0154,969,262,262,969,0,0,12,0,system,2.02507E+13,0,,1
2025070501,7284,0,969,969,969,969,969,0,0,0,11,1,1,0,0,969,262,1.0154,969,262,262,969,0,0,12,0,system,2.02507E+13,0,,1
2025070502,7284,0,969,969,969,969,969,0,0,0,11,1,1,0,0,969,262,1.0154,969,262,262,969,0,0,12,0,system,2.02507E+13,0,,1
2025070503,7284,0,969,969,969,969,969,0,0,0,11,1,1,0,0,969,262,1.0154,969,262,262,969,0,0,12,0,system,2.02507E+13,0,,1
2025070318,7284,0,968,968,968,968,968,0,0,0,11,1,1,0,0,968,262,1.0154,968,262,262,968,0,0,12,0,system,2.02507E+13,0,,1
2025070319,7284,0,968,968,968,968,968,0,0,0,11,1,1,0,0,968,262,1.0154,968,262,262,968,0,0,12,0,system,2.02507E+13,0,,1
2025070320,7284,0,968,968,968,968,968,0,0,0,11,1,1,0,0,968,262,1.0154,968,262,262,968,0,0,12,0,system,2.02507E+13,0,,1
2025070321,7284,0,969,969,969,969,969,0,0,0,11,1,1,0,0,969,262,1.0154,969,262,262,969,0,0,12,0,system,2.02507E+13,0,,1
2025070322,7284,0,969,969,969,969,969,0,0,0,11,1,1,0,0,969,262,1.0154,969,262,262,969,0,0,12,0,system,2.02507E+13,0,,1
2025070323,7284,0,969,969,969,969,969,0,0,0,11,1,1,0,0,969,262,1.0154,969,262,262,969,0,0,12,0,system,2.02507E+13,0,,1
2025070300,7284,0,968,968,968,968,968,0,0,0,11,1,1,0,0,968,262,1.0154,968,262,262,968,0,0,12,0,system,2.02507E+13,0,,1
