,N,NO,적용일자,발전기명,연료구분,온도,GT#1,GT#2,ST,합계,허용하한,허용상한,입력자,갱신일자
,,1,2025-06-04,통영천연가스CC,LNG,-39,331,331,349,"1011","1005.945","1016.055",진현용,2025-06-04 23:24
,,2,2025-06-04,통영천연가스CC,LNG,-38,331,331,349,"1011","1005.945","1016.055",진현용,2025-06-04 23:24
,,3,2025-06-04,통영천연가스CC,LNG,-37,331,331,349,"1011","1005.945","1016.055",진현용,2025-06-04 23:24
,,4,2025-06-04,통영천연가스CC,LNG,-36,331,331,349,"1011","1005.945","1016.055",진현용,2025-06-04 23:24
,,5,2025-06-04,통영천연가스CC,LNG,-35,331,331,349,"1011","1005.945","1016.055",진현용,2025-06-04 23:24
,,6,2025-06-04,통영천연가스CC,LNG,-34,331,331,349,"1011","1005.945","1016.055",진현용,2025-06-04 23:24
,,7,2025-06-04,통영천연가스CC,LNG,-33,331,331,349,"1011","1005.945","1016.055",진현용,2025-06-04 23:24
,,8,2025-06-04,통영천연가스CC,LNG,-32,331,331,349,"1011","1005.945","1016.055",진현용,2025-06-04 23:24
,,9,2025-06-04,통영천연가스CC,LNG,-31,331,331,349,"1011","1005.945","1016.055",진현용,2025-06-04 23:24
,,10,2025-06-04,통영천연가스CC,LNG,-30,331,331,349,"1011","1005.945","1016.055",진현용,2025-06-04 23:24
,,11,2025-06-04,통영천연가스CC,LNG,-29,331,331,349,"1011","1005.945","1016.055",진현용,2025-06-04 23:24
,,12,2025-06-04,통영천연가스CC,LNG,-28,331,331,349,"1011","1005.945","1016.055",진현용,2025-06-04 23:24
,,13,2025-06-04,통영천연가스CC,LNG,-27,331,331,349,"1011","1005.945","1016.055",진현용,2025-06-04 23:24
,,14,2025-06-04,통영천연가스CC,LNG,-26,331,331,349,"1011","1005.945","1016.055",진현용,2025-06-04 23:24
,,15,2025-06-04,통영천연가스CC,LNG,-25,331,331,349,"1011","1005.945","1016.055",진현용,2025-06-04 23:24
,,16,2025-06-04,통영천연가스CC,LNG,-24,331,331,349,"1011","1005.945","1016.055",진현용,2025-06-04 23:24
,,17,2025-06-04,통영천연가스CC,LNG,-23,331,331,349,"1011","1005.945","1016.055",진현용,2025-06-04 23:24
,,18,2025-06-04,통영천연가스CC,LNG,-22,331,331,349,"1011","1005.945","1016.055",진현용,2025-06-04 23:24
,,19,2025-06-04,통영천연가스CC,LNG,-21,331,331,349,"1011","1005.945","1016.055",진현용,2025-06-04 23:24
,,20,2025-06-04,통영천연가스CC,LNG,-20,331,331,349,"1011","1005.945","1016.055",진현용,2025-06-04 23:24
,,21,2025-06-04,통영천연가스CC,LNG,-19,331,331,349,"1011","1005.945","1016.055",진현용,2025-06-04 23:24
,,22,2025-06-04,통영천연가스CC,LNG,-18,331,331,349,"1011","1005.945","1016.055",진현용,2025-06-04 23:24
,,23,2025-06-04,통영천연가스CC,LNG,-17,331,331,349,"1011","1005.945","1016.055",진현용,2025-06-04 23:24
,,24,2025-06-04,통영천연가스CC,LNG,-16,331,331,349,"1011","1005.945","1016.055",진현용,2025-06-04 23:24
,,25,2025-06-04,통영천연가스CC,LNG,-15,331,331,349,"1011","1005.945","1016.055",진현용,2025-06-04 23:24
,,26,2025-06-04,통영천연가스CC,LNG,-14,331,331,349,"1011","1005.945","1016.055",진현용,2025-06-04 23:24
,,27,2025-06-04,통영천연가스CC,LNG,-13,341,346,326,"1013","1007.935","1018.065",진현용,2025-06-09 18:18
,,28,2025-06-04,통영천연가스CC,LNG,-12,341,346,326,"1013","1007.935","1018.065",진현용,2025-06-09 18:18
,,29,2025-06-04,통영천연가스CC,LNG,-11,341,346,326,"1013","1007.935","1018.065",진현용,2025-06-09 18:18
,,30,2025-06-04,통영천연가스CC,LNG,-10,341,346,326,"1013","1007.935","1018.065",진현용,2025-06-09 18:18
,,31,2025-06-04,통영천연가스CC,LNG,-9,341,346,326,"1013","1007.935","1018.065",진현용,2025-06-09 18:18
,,32,2025-06-04,통영천연가스CC,LNG,-8,341,346,326,"1013","1007.935","1018.065",진현용,2025-06-09 18:18
,,33,2025-06-04,통영천연가스CC,LNG,-7,341,346,326,"1013","1007.935","1018.065",진현용,2025-06-09 18:18
,,34,2025-06-04,통영천연가스CC,LNG,-6,341,346,326,"1013","1007.935","1018.065",진현용,2025-06-09 18:18
,,35,2025-06-04,통영천연가스CC,LNG,-5,341,346,325,"1012","1006.94","1017.06",진현용,2025-06-09 18:18
,,36,2025-06-04,통영천연가스CC,LNG,-4,341,346,325,"1012","1006.94","1017.06",진현용,2025-06-09 18:18
,,37,2025-06-04,통영천연가스CC,LNG,-3,341,346,325,"1012","1006.94","1017.06",진현용,2025-06-09 18:18
,,38,2025-06-04,통영천연가스CC,LNG,-2,341,346,325,"1012","1006.94","1017.06",진현용,2025-06-09 18:18
,,39,2025-06-04,통영천연가스CC,LNG,-1,340,345,326,"1011","1005.945","1016.055",진현용,2025-06-09 18:18
,,40,2025-06-04,통영천연가스CC,LNG,0,340,345,326,"1011","1005.945","1016.055",진현용,2025-06-09 18:18
,,41,2025-06-04,통영천연가스CC,LNG,1,340,345,326,"1011","1005.945","1016.055",진현용,2025-06-09 18:18
,,42,2025-06-04,통영천연가스CC,LNG,2,340,345,326,"1011","1005.945","1016.055",진현용,2025-06-09 18:18
,,43,2025-06-04,통영천연가스CC,LNG,3,339,344,325,"1008","1002.96","1013.04",진현용,2025-06-09 18:18
,,44,2025-06-04,통영천연가스CC,LNG,4,339,344,325,"1008","1002.96","1013.04",진현용,2025-06-09 18:18
,,45,2025-06-04,통영천연가스CC,LNG,5,335,336,326,997,992.015,"1001.985",진현용,2025-06-09 18:18
,,46,2025-06-04,통영천연가스CC,LNG,6,335,336,326,997,992.015,"1001.985",진현용,2025-06-09 18:18
,,47,2025-06-04,통영천연가스CC,LNG,7,335,335,325,995,990.025,999.975,진현용,2025-06-09 18:18
,,48,2025-06-04,통영천연가스CC,LNG,8,334,335,325,994,989.03,998.97,진현용,2025-06-09 18:18
,,49,2025-06-04,통영천연가스CC,LNG,9,334,330,328,992,987.04,996.96,진현용,2025-06-09 18:18
,,50,2025-06-04,통영천연가스CC,LNG,10,331,330,328,989,984.055,993.945,진현용,2025-06-09 18:18
,,51,2025-06-04,통영천연가스CC,LNG,11,326,332,328,986,981.07,990.93,진현용,2025-06-09 18:18
,,52,2025-06-04,통영천연가스CC,LNG,12,326,330,322,978,973.11,982.89,진현용,2025-06-09 18:18
,,53,2025-06-04,통영천연가스CC,LNG,13,325,329,322,976,971.12,980.88,진현용,2025-06-09 18:18
,,54,2025-06-04,통영천연가스CC,LNG,14,324,329,322,975,970.125,979.875,진현용,2025-06-09 18:18
,,55,2025-06-04,통영천연가스CC,LNG,15,325,328,322,975,970.125,979.875,진현용,2025-06-09 18:18
,,56,2025-06-04,통영천연가스CC,LNG,16,326,327,320,973,968.135,977.865,진현용,2025-06-09 18:18
,,57,2025-06-04,통영천연가스CC,LNG,17,325,327,320,972,967.14,976.86,진현용,2025-06-09 18:18
,,58,2025-06-04,통영천연가스CC,LNG,18,325,327,320,972,967.14,976.86,진현용,2025-06-09 18:18
,,59,2025-06-04,통영천연가스CC,LNG,19,325,327,318,970,965.15,974.85,진현용,2025-06-09 18:18
,,60,2025-06-04,통영천연가스CC,LNG,20,324,327,318,969,964.155,973.845,진현용,2025-06-09 18:18
,,61,2025-06-04,통영천연가스CC,LNG,21,324,327,318,969,964.155,973.845,진현용,2025-06-09 18:18
